0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p,7_n,7_l,7_p,8_n,8_l,8_p,9_n,9_l,9_p,10_n,10_l,10_p,11_n,11_l,11_p,12_n,12_l,12_p,13_n,13_l,13_p,14_n,14_l,14_p,15_n,15_l,15_p,16_n,16_l,16_p
SOX5,5.1553373,1.111274413088554e-192,PRKCQ,5.7777395,4.645707436047275e-199,EDNRA,6.0576496,1.0169695768035946e-201,TRGC2,7.741055,1.3265878904579714e-196,LPAR1,7.6135187,4.209757642399343e-202,RALGAPA2,5.3519845,1.0282068700818922e-196,FAM49B,5.7794366,4.9392006406351105e-142,TWIST1,5.0607824,3.936838845359736e-64,RNASET2,4.59257,6.2577424387455056e-49,CDH5,7.4606442,1.1407140364401142e-103,RBMS3,3.9713268,1.5715835673327637e-90,PTK2,3.1493735,8.389350815001045e-28,CD247,5.2697134,7.362517179368671e-34,SIPA1L2,7.459526,8.773998415133864e-54,DOCK5,6.1954255,1.693908606560628e-27,IL2RA,5.987081,8.509594177050847e-10,GCNT2,8.561467,7.533701436679295e-20
PARM1,5.4292564,1.9537768252288698e-191,MDFIC,4.735883,3.66841094218646e-197,PTMS,4.5180607,1.9355342574352945e-200,EMB,5.920423,1.9331002871185224e-196,CTSK,7.050447,4.704191762302266e-202,NR5A2,8.493424,1.9072011048811168e-196,MYBL1,6.9025316,3.999788661981383e-139,PRKAR2B,5.224735,2.7842375168926483e-63,HLA-DPB1,4.315131,7.066001748410945e-49,SLC9A3R2,6.547063,8.800487975829415e-103,COL4A5,6.2514954,6.906532167040425e-89,MEOX2,3.7180498,8.449035764645521e-28,PHTF2,4.26359,7.547818743709239e-34,SLIT2,8.073635,1.1445806266289829e-53,MPP7,6.1168804,1.896328067366154e-27,TPD52,5.050272,1.0576592409629348e-09,GPM6B,7.5886297,1.1335350691330376e-19
COL6A1,4.8587923,3.0228296110495373e-190,TTC39C,5.22923,4.0453120652838044e-197,MGST3,3.4956656,2.0067186446936996e-194,IQGAP2,5.905246,2.984931416927412e-195,PLXDC2,6.412473,9.851418777358814e-198,FLT1,7.607884,2.336092303052278e-194,KLRK1,7.2055354,8.684199015904773e-138,TAGLN,5.074027,3.4952224661951575e-63,ARHGAP24,4.4900374,1.2862974755348704e-48,ADGRF5,6.35968,3.485698665310424e-102,INPP4B,3.6110282,1.1714198002390185e-87,COL4A2,3.6007502,1.18325364139278e-27,STAM,4.9842544,1.4896481784309723e-33,LAMB1,7.1863694,5.508115808182367e-53,TSPAN5,6.0562067,3.3528551024595644e-27,SAMSN1,4.993027,2.116790996876989e-09,PLXNC1,7.61182,1.2387879477757162e-19
COL25A1,5.78411,3.0228296110495373e-190,ANKRD44,4.799493,7.558031285689234e-197,MAP3K20,5.0192404,4.8015314399530184e-188,IKZF1,5.965054,5.383679886771956e-192,CDH11,6.655275,4.4576168905253396e-194,TSPAN7,7.719425,4.753055995855245e-192,RAP1GAP2,6.7370844,8.81806562428972e-138,COL6A2,4.447478,3.9577148563938226e-63,PIK3AP1,5.3226523,5.2000220789901304e-48,FLT1,7.2107425,1.5523853934632276e-101,PPP1R12B,4.0487723,5.625777753251184e-87,COL5A2,3.7741039,1.8787991706176197e-27,CAMK4,5.534947,3.4060460542137726e-33,LPAR1,7.912719,5.7048067883222845e-52,KLHL4,9.494665,4.0318697264965994e-27,TNFAIP3,4.7201786,2.1811447956534956e-09,KIAA1549L,10.681791,1.2722637890561126e-19
RBPMS,4.5206375,6.759741691648983e-186,CD69,5.7258964,2.3568458946916585e-196,GSTP1,3.348276,6.562124104687042e-186,MBP,5.5979776,1.1416071195325244e-191,EFEMP1,8.30962,6.047289117384382e-194,RASGRF2,6.874385,3.8337850830933196e-191,SAMD3,6.6306667,4.5190038725776e-137,EGFLAM,5.2410088,5.872941652649725e-59,CD86,10.010512,3.022250006237183e-47,EGFL7,7.3031054,1.1525665869068728e-100,PTEN,2.7713904,1.9662275854020253e-85,NEGR1,4.061405,4.373833979078117e-27,ARHGAP15,4.3733187,4.671005509980771e-33,CHL1,10.112214,2.407284269802738e-51,EGFL7,7.003448,4.4009413891999075e-27,STK17B,4.497867,2.9395328144155095e-09,PMEL,10.048292,1.3246232886796416e-19
COL3A1,5.0537868,1.0885316254926172e-184,ANK3,5.911335,4.422558591026377e-196,LMOD1,5.8329644,2.6201131361098546e-185,PYHIN1,6.1647797,1.855691513301714e-187,COL1A2,5.8283315,1.912298138206157e-187,LMCD1,6.966,1.415109277388793e-190,ARL4C,6.268201,8.082109578025481e-135,COL5A2,4.5951033,1.401599409726986e-58,MANBA,4.594248,3.026160199469572e-47,RAMP2,6.7751255,5.791406306382596e-100,CACNA2D1,5.1316447,5.965675534569295e-85,UACA,3.551012,7.989913942059383e-27,LTB,5.3640776,6.477314091495886e-33,QKI,3.4913843,2.407284269802738e-51,ZNF521,6.1625266,6.434644621899668e-27,ATP8B4,5.062144,2.94652278022348e-09,EGLN3,8.52197,4.304612459212805e-19
MGP,4.6128974,8.12730053535926e-183,PARP8,4.982111,4.521954880033829e-196,CPE,5.5087113,3.0483480147201954e-185,RAC2,5.88775,2.5596623286069154e-185,PTGFR,9.360542,3.3143683018342392e-183,EGFL7,7.673686,3.4227949041263404e-189,LCP1,6.1097,3.491933152322596e-133,CFH,4.667984,3.603161314188091e-58,LAPTM5,4.4115243,2.951586755643766e-46,RASGRF2,6.511438,8.382168578573532e-98,DMD,5.243298,6.194631848498945e-84,YAP1,3.750216,1.0669885819367867e-26,SLC38A1,4.4868884,2.6524116756304445e-32,TENM3,10.037437,5.28137581201217e-51,KALRN,5.7677298,8.487459983318166e-27,FXYD5,3.8310087,2.981897850881365e-09,NSG1,9.110536,5.195589647410164e-19
COL1A2,5.072355,9.776691664442876e-180,IL32,5.429953,8.321144464957653e-195,KANK2,5.442526,3.102430990304993e-185,APBB1IP,5.6903744,3.0027673960914288e-183,PLAGL1,6.220597,5.407161072551272e-182,CD93,7.469202,4.554932265743745e-189,MYO1F,6.174469,1.1277273387896621e-129,NR2F2,4.609849,4.8661208537084235e-58,FCER1G,5.357042,2.951586755643766e-46,TEK,7.6679883,1.8028074497533475e-97,NFIB,4.158464,1.601231337587681e-83,COBLL1,3.4529233,1.2849997229213026e-26,CD37,4.7696543,2.7293276740024884e-32,MATN2,7.863192,1.5198441369555352e-50,ARL4A,6.348102,1.2681396824897593e-26,XCL2,5.8231115,2.981897850881365e-09,ST8SIA6,8.258148,5.354979260338459e-19
LHFPL6,4.2967563,1.0876020769608518e-179,RHOH,5.7494645,3.838767682261164e-193,TINAGL1,5.62898,3.033288417434271e-184,KLRD1,6.739159,3.2490746607049852e-183,COL1A1,5.960112,5.739492353516671e-182,ARHGAP31,6.356525,5.771567667018338e-187,GNG2,5.829564,6.63723039451466e-129,CALD1,3.7880867,6.616380521103711e-57,BMP2K,4.5284324,3.3425520584338566e-46,LIFR,6.218994,3.327551025364844e-97,EPS8,3.9363208,1.909201292114637e-83,PALLD,3.459994,1.625056715312056e-26,TTN,5.7833858,3.2352787105943485e-32,ERBB3,10.964075,8.029952102169356e-50,ELK3,5.2354693,1.9278896593524255e-26,ID2,4.571224,4.872542715021974e-09,DPP6,10.937794,5.83656014788444e-19
FHL1,4.6070457,2.996883594831506e-179,APBB1IP,5.2846203,2.112512009930997e-190,CAVIN1,4.654688,1.0210374947111076e-183,CD247,6.0940747,5.361651913371191e-182,COL6A2,5.471907,4.383974095586707e-170,CNTNAP3B,7.991313,1.4494940866226714e-186,CD53,6.137998,3.9666586775675273e-128,ADGRF5,4.8805733,1.6788000856169645e-56,PRKCB,4.505143,5.180843961065445e-46,HLA-DRB1,5.9040666,1.619151887485326e-96,SYNPO2,5.2489758,3.1973674211345388e-83,PPP1R12B,3.0638084,2.3505934249192865e-26,LDLRAD4,4.296449,3.2352787105943485e-32,PMP22,5.439189,9.435407215761986e-50,PGM5,6.1087475,2.043276759882234e-26,RGS10,4.555783,5.342170862290117e-09,FXYD3,10.410745,1.3432162143414928e-18
INPP4B,3.7087924,8.52820152850268e-179,CXCR4,5.9447737,4.634360377394821e-189,CAV1,4.599206,6.338234183501761e-181,IL2RG,5.77194,1.2500798971467997e-178,MXRA8,6.5257564,9.961621814553441e-167,HLA-DRA,6.628823,1.6760771370302824e-186,SH2D1B,9.415308,1.7183187687788705e-125,ADRA2A,4.879713,2.913567709358753e-56,CIITA,5.456312,8.713151393067887e-46,CD34,6.604104,2.153363282050909e-96,GUCY1A1,5.5987988,9.22528746466146e-83,PHLDB2,3.454903,2.7067789767213465e-26,CCDC141,6.8284044,4.410800905688539e-32,ST6GALNAC5,12.206193,4.69296168661317e-49,CNTNAP3B,7.085195,2.1783507531918436e-26,MB,9.804353,7.861542955180345e-09,SLC1A4,8.729236,1.8181445202018024e-18
PDE5A,4.545489,1.0887768756633313e-178,DOCK2,5.40617,7.400681097307523e-189,FRZB,6.2070923,9.625375423042104e-181,IKZF3,5.94489,8.56628647568939e-178,KCNT2,6.1421876,2.367243591557545e-161,SMAD1,7.08641,1.9974900669606158e-186,CYBA,4.90549,3.2049261468497734e-125,ADAMTS5,5.2722135,8.388858137903506e-56,PLXDC2,4.571154,1.2078402555478244e-45,JAM2,7.0459986,4.1381828011726675e-96,PPP1R12A,1.8898759,2.6836365094585924e-82,PTPN13,3.8442688,5.072786737429446e-26,IQGAP2,4.702546,4.884238773630448e-32,ITGB8,8.716798,3.740499593066044e-47,ZDHHC14,6.180009,2.1783507531918436e-26,MDFIC,4.2232227,1.141044875495844e-08,TFAP2A,9.983637,2.143983655071882e-18
COL6A2,4.674685,7.422593538684952e-178,SCML4,5.7948856,6.56398809847002e-187,TBX2,6.3279305,4.786631517321196e-180,BCL11B,5.907468,4.905452289567457e-176,C1R,5.766463,2.382759726480413e-161,PKP4,5.9120774,3.406001373996522e-186,VAV3,6.1905503,1.7556347234835028e-124,ARHGAP6,4.458774,2.519944153493147e-55,LST1,6.1292896,2.985265087138656e-45,ERG,7.0630407,3.2191081098381014e-95,RGS6,5.9712324,1.320772087388585e-81,DMD,3.8164601,5.719511102072218e-26,STK4,4.0253325,1.2298103207755587e-31,ZNF536,11.591874,5.132480643706728e-47,TSHZ2,5.981386,2.7881955162869486e-26,SH3BGRL3,3.9687274,1.2651524741886605e-08,PLP1,9.468768,6.256888115613279e-18
FHL5,5.604016,2.6659356029806443e-173,RASGRP1,5.5887213,2.637680717106751e-185,MAP1B,5.233893,2.9082043207025573e-174,CD96,5.9365993,1.3043896561995583e-175,C3,9.349779,1.8339463328658713e-159,MYO5C,7.952962,1.8313940085481585e-185,HCST,6.076767,2.4913864377820483e-124,GNAI1,4.530413,4.324850415775909e-55,TYROBP,5.108974,5.683390489491451e-45,ST6GALNAC3,6.9189563,6.942688071649206e-95,DST,3.9186351,5.605451549258496e-79,PDE1A,3.959133,9.247379300050249e-26,ARL4C,4.801136,2.6288798389194164e-31,SORBS1,6.2529755,8.723043710827224e-47,SEMA6A,6.4515057,4.4509765198808764e-26,CD69,4.784461,1.2651524741886605e-08,NAV3,7.3512125,7.997575813595031e-18
ADGRL3,5.572465,6.537083576997633e-172,CD53,5.3551364,2.571140488576131e-184,FXYD1,5.0638127,3.804072297787365e-174,TRAC,6.009684,2.0723229572320124e-174,SNED1,5.43943,5.195448656086439e-159,SEC14L1,6.0480313,2.0771865060302077e-183,TRDC,8.11541,1.2694265459755541e-123,MRVI1,4.7396135,9.809194302434934e-55,PLEK,4.766932,7.132628136929547e-45,EPAS1,5.2873087,3.0501860236329264e-94,CPM,5.681564,6.61990314221553e-79,TEX41,3.7131052,1.2139874495551214e-25,CDC42SE2,3.9431682,3.968674641144735e-31,PLP1,10.466275,9.385282896193105e-47,VAV3,5.9413095,1.0615961203189339e-25,TRAT1,5.105374,1.6142989757930634e-08,ST3GAL6,7.643708,1.2355204426394787e-17
SGIP1,5.346966,9.077659905248306e-170,TNFAIP8,4.6928487,3.907478685584936e-183,ADRA2A,5.8576055,4.8640140284978e-174,ITGB2,5.694521,4.593580156887211e-173,SERPINF1,5.7807746,2.1440572814631446e-155,CADPS2,6.2267246,1.6267026857379835e-179,GNPTAB,5.443917,6.492553430992003e-123,RYR2,4.797529,3.107021819013936e-54,HLA-DMA,4.7259903,8.469991997915505e-45,UACA,5.2969246,1.885864597637231e-92,CALD1,3.740503,8.187760139087496e-79,PEAK1,2.961477,1.3179643103504716e-25,ARHGDIB,3.3655367,5.962898919961719e-31,CLU,5.8458495,1.9484717332560682e-46,NRG3,9.330802,2.6393354460025797e-25,MBP,4.760782,1.6639818066336355e-08,MTHFD1L,7.1372933,2.5468739944454695e-17
ARHGAP6,4.7655473,8.058602747321876e-169,CD247,5.646985,1.2101798670769506e-180,RCAN2,5.239241,3.976293893629482e-172,RUNX3,5.7065797,3.4789984282828116e-172,FSTL1,5.477368,6.524560885303802e-148,SHANK3,7.841556,3.845759035147402e-179,MBP,5.6695905,6.824002096843896e-122,SLC38A2,2.6325016,6.711094296162775e-54,CLEC7A,9.49219,2.2388357320459395e-44,LDB2,5.2128344,7.125748330741286e-91,PDE5A,4.4967985,1.115222760829941e-78,SYNPO2,3.755193,2.7472557567525574e-25,RCAN3,5.111414,5.962898919961719e-31,KCNMB4,8.154706,5.130366720682887e-46,MIR99AHG,6.2484603,5.768535898515167e-25,NCR3,5.3648467,1.6729862684176286e-08,SGCD,7.3517337,3.590359471918435e-17
CSRP1,4.3120704,5.194476563231335e-168,CCND3,4.5503955,2.1789697732028614e-179,NDUFA4,3.0413077,2.494619504185462e-170,CD37,5.6502395,7.062092315363091e-172,COL3A1,5.4820924,1.899818069670344e-147,NRP1,5.9072695,2.4215106337858118e-178,PTPRC,6.234175,7.073492117304167e-122,LURAP1L,4.875276,5.0411510509703236e-52,BCL11A,8.322673,4.353764122070708e-44,TM4SF1,6.270009,7.849375936261291e-91,ARHGAP10,3.8690982,2.311762844633713e-78,LINC00924,4.1285105,5.387448325116873e-25,CTLA4,8.175388,6.739462231766808e-31,SPTBN1,4.0631323,6.5111180821808196e-46,EFEMP1,6.9225335,4.8866127554894385e-24,MZT2A,4.422441,2.4715578296815292e-08,PRELP,7.1700535,1.3069350261438305e-16
CAV1,4.229,7.069742583743604e-168,TRAT1,6.709239,1.5649843732981178e-178,PDE3A,5.644584,3.0131960420055024e-167,MYO1F,5.6061726,6.821374485231139e-171,MRC2,7.6014686,4.621025535843337e-147,RPS6KA2,6.2459655,4.0695318581443504e-178,SKAP1,6.2801905,5.596931441572606e-121,ADAMTS12,4.955022,5.998886295176243e-52,VAV3,4.5109425,2.426928674298788e-43,RNASE1,7.280785,1.1552015440307928e-90,PTK2,3.6942465,8.615427402772778e-78,TTC28,3.1717088,1.0611968245770875e-24,ZNF831,5.223751,7.39663045479813e-31,FRMD4A,5.391818,2.287177809222342e-45,APP,4.6609964,5.753418458511165e-24,PLP2,4.246577,2.9444229237991263e-08,SEMA3C,8.075685,1.3531841322344332e-16
ANGPT1,5.177183,8.225605287077637e-168,LCP1,5.259466,9.53610786579986e-174,TBX2-AS1,6.981729,1.2430740898821326e-166,CCL4,6.447679,1.8079704427737224e-168,COLEC12,7.0261636,2.055492437424151e-146,IFI27,6.724661,4.864757747754617e-177,RAC2,5.8172884,8.240623642930736e-117,NOTCH3,4.6068196,8.563655903464255e-51,EMILIN2,5.1874075,3.0864750929374848e-43,MTUS1,5.6445336,1.494437431476196e-90,EDNRA,5.3325567,1.3823801812066377e-77,FRY,2.9769347,1.7438913521327865e-24,ICOS,5.843085,8.200369791163346e-31,RELN,9.036343,3.7889714707539635e-45,ECSCR,6.947093,7.552524054319587e-24,CD53,4.873542,3.162472914680716e-08,SOX4,6.413062,1.6948881966915205e-15
MAP1B,4.6753993,8.198932757609232e-167,CDC14A,4.6418624,1.560812654533024e-173,MYLK,5.1171966,1.956450282375251e-166,MYBL1,6.0361824,3.1512530219109217e-168,CLMP,7.199007,4.450165073950447e-146,LDB2,5.4729567,1.574186909278944e-176,RUNX3,5.993292,1.0777847369019466e-115,LHFPL6,3.8210433,1.5268668573282514e-50,NOTCH2,4.311897,7.024653208756355e-43,ID1,6.9126434,2.8664214411048296e-90,PDE1A,5.380992,2.0152977311346046e-77,ADGRF5,3.735132,8.31826958344613e-24,CORO1A,4.6689744,8.371756923702698e-31,HSPA12A,8.360861,1.2618356726222568e-44,HECW2,6.1832523,1.28208691985928e-23,IL32,4.540245,3.506122965355707e-08,BCAN,10.963408,3.0460018887780717e-15
CARMN,5.1998887,1.0142844348635214e-163,SLC38A1,4.923049,3.697590136994875e-170,RPL7,2.0538423,6.081761781110454e-165,PARP8,5.034965,1.8766153768567555e-166,SPRY1,5.2443385,1.1878884911087962e-145,JAM2,7.2673836,2.536581105735644e-175,HOPX,5.8175817,4.95663284219241e-115,CHSY3,4.5432506,1.542204273773555e-50,OSBPL11,4.5866218,8.190037079513335e-43,CTTNBP2NL,6.0750656,2.0923353907637327e-89,PPFIA2,6.0864906,3.0921822033550078e-77,CARMN,3.8535936,8.594612372234416e-24,IKZF1,4.754124,1.805346037622304e-30,AHR,3.9404376,1.2618356726222568e-44,PIEZO2,7.7780223,1.28208691985928e-23,AREG,6.2061477,3.907301159998397e-08,TMEM117,6.2461057,3.24560351650436e-15
CD44,2.8304994,1.1106271980007292e-163,CD48,5.095784,4.426536148044874e-170,MYL6,1.9301401,7.304166809740063e-165,GNG2,5.308522,2.1147342829142457e-165,FBLN5,6.981984,7.142174280838482e-145,ENG,6.221751,6.138509458329107e-172,SRGN,5.3058453,4.922374243968571e-113,IFITM3,3.4864917,4.2441852226213597e-50,CD68,6.3595934,1.1327790303280758e-42,LRMDA,5.1879206,2.2165654163902394e-87,RERG,5.228396,3.0921822033550078e-77,DIP2C,3.5117874,9.265097391205642e-24,LEPROTL1,4.3430176,6.325435810378094e-30,TGFBR2,3.5938587,2.0585424655665676e-44,TLL1,7.534914,2.7281223608190775e-23,RCAN3,4.687137,4.313305967912475e-08,GPNMB,6.2374973,3.364214472951299e-15
ADIRF,4.110201,2.833047548844138e-163,SPOCK2,5.709004,5.721698028031049e-169,MFGE8,5.0687423,2.534816545016991e-163,LCK,5.7267437,5.67149412314606e-165,OLFML3,6.1559463,1.9935456867071546e-144,TSHZ2,6.016048,1.1009036223028716e-170,ITGAL,5.9071956,9.995842192870896e-113,EBF1,3.7222066,5.232530369100953e-50,DOCK2,4.35375,1.57313155630096e-42,ADAMTS6,7.311346,1.0505847031184685e-86,AC012409.2,5.4167814,3.776845903729896e-76,LARGE1,3.465405,9.90407543616232e-24,IPCEF1,5.123371,7.328580863304599e-30,IQGAP2,5.267533,2.941005107183539e-44,CAVIN2,6.353492,2.83693733182179e-23,RAC2,4.6487136,5.364450065110804e-08,GPR155,6.4426384,6.953365169463302e-15
LINC01197,5.096498,1.7106322266428395e-162,TRBC2,5.1240573,1.3748200678172624e-157,HSPB1,3.5237765,9.243477687917472e-161,CYBA,4.764302,9.316226384495496e-164,MFAP4,5.9201746,1.8806822100450211e-143,DNM3,6.300802,6.194222652971163e-168,BNC2,6.4932184,3.5562906301285202e-112,ADIRF,3.9210088,5.60321859704112e-50,NCF2,6.97729,1.8631998252760892e-42,CLEC14A,6.888156,1.8857366082498418e-86,RYR2,5.6783967,6.749558841124195e-75,NCKAP5,3.7271104,1.0910495632086625e-23,TIGIT,6.039037,7.824386611540107e-30,SOX6,6.6338987,3.067423344794816e-44,FAM189A2,7.0929413,3.98859885757808e-23,STAM,4.522558,5.743886959912793e-08,CRNDE,7.0011864,6.953365169463302e-15
DMD,4.784522,4.210886466084062e-162,ARL4C,5.067772,1.8216969009945583e-156,CAV2,4.784425,9.81513582666359e-160,TC2N,5.551489,3.3255962384019866e-163,KAZN,5.5737295,2.907720009042051e-140,AFDN,6.1533837,4.8371427542644693e-166,PRKCB,5.9526463,8.791630393619006e-111,PARM1,4.4940023,2.8521462078943286e-49,TBXAS1,5.0935597,1.931227431820266e-42,FAT4,6.016123,1.6199496953182535e-85,MAP3K20,4.35001,2.1912671868600536e-74,PELI2,3.2351146,1.3131813506088949e-23,HCLS1,4.4712896,1.1976481262834704e-29,ADGRL3,6.7434173,4.764288944394276e-44,SLC22A23,7.2916374,4.0513632435529914e-23,TMPRSS11E,11.2957325,8.828489315731641e-08,SOX6,6.699543,7.685477768483104e-15
C11orf96,4.8436785,2.0235874284941697e-158,EML4,3.9175215,2.4024761587916964e-156,CD9,4.4223533,1.3774690726533783e-159,BIN2,5.5871863,3.9209831524967153e-163,GPC3,8.327991,3.104562345529611e-140,CLDN5,7.5786457,5.038246415627176e-166,LYN,6.1142673,4.98698238230247e-109,LBH,3.6824698,1.3861449968153092e-48,HLA-DRB5,5.012514,5.87483582064326e-42,GLUL,5.09688,4.194216989839104e-85,DOCK8,3.3755946,7.391567665249448e-74,SPECC1,3.2239804,1.4429092993236042e-23,LCP1,4.568083,2.3737763489154834e-29,GAS7,6.576549,7.602638543117852e-44,LIMCH1,6.386038,4.9596428720966185e-23,HTATSF1,4.3559256,8.887822240782218e-08,STXBP6,6.810498,7.796543981594759e-15
SERPING1,4.3162327,3.5563974111829437e-158,LCK,5.2211037,1.0545044163776885e-155,LGALS1,2.9948404,2.2958494087378066e-159,CYTIP,5.5295205,2.404512164517117e-162,FGFR1,5.3741508,5.7316788563220185e-140,DOCK9,5.074539,3.2077238168961925e-162,GZMH,6.954282,8.087683742464907e-109,MEF2A,2.4804676,4.829839642409506e-48,ADAM28,6.7769136,7.577374081002192e-42,EFNB2,7.321931,1.6850819551563048e-84,PARM1,5.233869,1.95850862362932e-73,COL6A3,3.780093,2.0345762717845695e-23,LCK,4.8330374,2.5576415787249904e-29,PIK3R1,3.593056,1.629829150769476e-43,PLSCR4,5.067329,6.503971003076555e-23,MPZL3,4.865849,9.223783342719531e-08,MFSD12,7.2379174,9.688983611000292e-15
LAPTM4A,3.2213926,5.683733051122336e-157,SRGN,4.7030177,3.4713224439132408e-155,SPARCL1,4.9209585,2.3064224652444228e-153,CD69,5.695121,1.1068220608996313e-160,COL6A1,5.328153,1.6256361433959609e-139,PLEKHG1,6.4181304,3.109212092451084e-160,CARD11,5.92547,1.6735131647558056e-108,KCNT2,4.686217,6.54590497139301e-48,NCF1,5.8230677,8.390297331200662e-42,RPS6KA2,5.7474694,7.7925905011824775e-84,LPP,1.3267452,1.1249703647930696e-72,PDZRN3,3.994925,2.377081905753139e-23,DOCK2,4.6305866,2.6685593365198137e-29,ITGA6,6.135231,2.3150688693519036e-43,RALGAPA2,4.836512,1.0606021847086445e-22,IL1R1,4.6327047,9.621246905123797e-08,PCDH11X,9.906665,3.213880959461946e-14
IFITM3,3.566746,8.791810933497996e-156,RUNX1,4.471312,1.64601985322241e-154,HES4,5.5863867,4.293229499281177e-151,SLFN12L,5.45542,1.384188271892297e-157,SELENOP,4.956666,1.4008729456782532e-138,TM4SF1,6.362943,3.209189835252358e-159,IQGAP2,5.7154417,2.500231936410058e-108,COL23A1,5.345468,6.128443704361474e-47,EVI2B,4.2669954,1.4047484408708832e-41,ARL15,3.7093248,1.6168787162465253e-83,NET1,5.854313,1.7298077929282632e-72,TFPI,3.5179837,2.482710045724775e-23,PHACTR2,3.6888416,4.653861548511475e-29,ARHGAP24,5.8788533,2.7880785655192704e-42,CDH13,5.67574,2.173328099687262e-22,ICAM3,4.4626584,1.1169561112578705e-07,CDH19,8.510089,6.572151516439273e-14
C1R,4.890365,9.041431315142081e-156,LEPROTL1,4.5676055,1.535420922544879e-153,NME2,2.9633927,5.1179087145572604e-151,TRG-AS1,5.715056,3.863173600193255e-157,ANK2,5.259799,5.983066108861481e-136,ELOVL7,7.9991827,4.980471792407866e-159,ABHD17A,5.099979,2.740849708616552e-108,PDGFRB,4.1372886,1.2110749418905651e-46,MS4A7,9.503253,3.0232232282934065e-41,CPNE8,5.218737,5.2561801149866984e-82,TNS1,4.381008,2.2674116947562867e-72,PTBP2,2.4340925,4.26700043438545e-23,CCM2,3.8771448,5.094929584840084e-29,RDX,4.7499714,4.0215637403723186e-42,LDB2,4.9965305,2.173328099687262e-22,KRT86,8.530943,1.2315280435993357e-07,IRS2,6.5660505,6.572151516439273e-14
TINAGL1,4.831328,1.2108080031286385e-155,CELF2,4.255593,2.999282489341648e-153,ID4,5.152071,1.0594316556275224e-150,CDC42SE2,4.661048,2.3914679670725565e-156,NNMT,5.418823,2.998096945075488e-134,SPARCL1,5.098665,5.772413526826649e-159,CORO1A,5.652649,3.530741037285645e-106,COL5A3,4.5028815,4.673522150306054e-46,CSF2RA,8.445767,1.3294137877301062e-40,SORBS2,5.718718,6.91341365283343e-81,ZEB2,3.0002663,1.4425449041660323e-71,PTEN,2.090411,6.91333500105025e-23,CYTOR,4.0569596,8.409822832670901e-29,PRKCA,5.434723,8.985740171215055e-42,AL357507.1,9.478446,7.602884611510071e-22,IGFLR1,4.9713836,1.4583389818362198e-07,SOX10,9.221823,8.121994350178202e-14
LINC00924,5.147451,7.3974325553505275e-155,FAM107B,4.3596563,4.971508383140059e-152,SELENOM,4.087883,4.2326828596477704e-150,RIPOR2,4.8232403,1.0489763467206949e-154,SCARA5,8.433738,1.6971298214331321e-133,KDR,7.97949,2.2493007661711195e-158,CCL5,6.13407,3.089733189609551e-105,COL4A2,3.8113403,2.1991143560099308e-45,SIPA1L3,4.3019657,2.6727818889821686e-40,ELMO1,4.4921184,4.470656180749984e-80,PPM1L,4.829879,1.8811147078069234e-70,LHFPL6,3.0083125,1.507404168350624e-22,SPOCK2,5.017824,1.261390450631171e-28,S100B,10.548103,2.327201014495059e-41,PDE7B,5.9586973,1.201903129300085e-21,IL2RB,4.7807655,1.5190238420154137e-07,MYO10,6.062907,2.9591969891086697e-13
CLSTN2,5.653772,8.180552751855935e-155,BCL2,4.148675,1.0899859017112106e-150,RPS5,1.9940995,1.5098229897045836e-149,PRKCQ,5.516984,1.702742019103992e-153,CD248,5.894667,3.399804956080008e-132,FAM13C,6.237472,2.9049985822208737e-157,IKZF1,5.7833295,8.853385722691112e-105,LINC01091,4.6802883,8.436597490728476e-45,MAP3K1,4.212102,3.2707979249720345e-40,A2M,3.3281333,4.026182223331986e-79,CDH6,5.8588524,5.171170919933564e-70,MYO1B,3.407981,2.1533796371288913e-22,EZR,4.0834517,1.5125754093231177e-28,SH3D19,4.643191,2.5623126705883356e-41,AFDN,5.642034,1.3697876478825485e-21,PRKX,4.424834,1.577726551133106e-07,PCDH7,7.9956627,3.5494859144986574e-13
ZEB2,3.3896844,1.3529842264346916e-154,CLEC2D,4.378818,3.091836439657609e-148,DBNDD2,5.1648517,2.1407920248100807e-148,THEMIS,5.843829,5.881710110069111e-153,CYBRD1,5.062352,2.5025684452855145e-131,HSPG2,5.825031,7.715399479438565e-157,SLAMF7,6.755992,1.3879519973970017e-103,BASP1,5.163208,1.301118064899324e-44,IGSF6,6.4213023,6.219928198454032e-40,VWF,6.605644,6.225944843678773e-79,ROCK1,1.8646061,6.472985143641091e-70,SBF2,2.226331,2.157772937813109e-22,SMAP2,3.9837685,1.8831779988834684e-28,ZEB2,3.4452176,3.759039152853258e-41,STAB2,11.360592,1.6211112188692654e-21,ACAP1,4.552824,1.6494306177850778e-07,TRIM2,6.064271,3.921466190435327e-13
