0_n,0_l,0_p,1_n,1_l,1_p,2_n,2_l,2_p,3_n,3_l,3_p,4_n,4_l,4_p,5_n,5_l,5_p,6_n,6_l,6_p,7_n,7_l,7_p,8_n,8_l,8_p,9_n,9_l,9_p,10_n,10_l,10_p,11_n,11_l,11_p,12_n,12_l,12_p,13_n,13_l,13_p,14_n,14_l,14_p,15_n,15_l,15_p,16_n,16_l,16_p
PRKG1,5.4206514,6.928997326250904e-241,CD2,6.4275765,6.698457226078599e-249,MCAM,6.2643437,9.817180146582241e-250,CD2,6.685144,9.865326460374133e-231,CFH,6.690841,1.4103250785493425e-251,ERG,8.86666,9.86645974376412e-267,TYROBP,8.658736,2.8896881008411875e-184,MGP,4.904675,2.2691934149762255e-83,GRK3,5.659846,5.039117368106227e-70,DACH1,8.339836,2.886706813704173e-132,CLMN,6.2602277,1.6355892593858928e-110,AUTS2,3.6495652,9.21680745259953e-36,CD52,5.7008677,4.681406812156999e-46,PCSK2,12.04318,1.7008715992532467e-65,TFPI,6.308365,1.6922636525682184e-36,TNFRSF4,7.4359293,3.0895034146872383e-15,QPCT,9.940944,3.71369121692739e-23
EPS8,4.467908,5.093660851949606e-238,TC2N,6.1119857,1.9006258528601264e-241,SNCG,6.634253,5.254513094448547e-246,SKAP1,6.611677,1.5495818654448597e-227,PID1,8.44873,2.4930172780127014e-251,DACH1,8.967858,1.6749793640131294e-262,CST7,7.6883044,8.479462146206554e-182,COL6A3,5.5381055,1.0957106989721645e-82,HLA-DMB,6.240542,3.1436798946191556e-66,PTPRM,5.9226956,3.735267548436905e-123,EBF1,4.3720727,2.4360694799843593e-110,EBF2,4.885548,1.2397046126788602e-35,CD3D,6.2232475,1.0629307372308756e-45,SLC35F1,10.449899,2.358833502234395e-65,STK32B,8.625386,2.92012105896877e-36,KIT,8.11727,5.699287181714286e-15,DLGAP1,8.829126,9.30051073723388e-23
CHSY3,6.0042315,5.156822422161614e-236,SAMSN1,6.236131,5.240895780004381e-240,DSTN,3.2450778,2.2914233827689385e-240,ITGA4,6.3558154,6.764127668170786e-225,NAV3,7.6086555,3.32563291863805e-249,COL15A1,7.835223,3.3770105247279146e-260,MCTP2,7.33978,2.1411885877510966e-180,PLPP3,4.9167337,1.6176851496896094e-81,MS4A6A,9.357582,1.436379365072228e-65,CYYR1,8.000467,3.506184869999086e-120,CTNNA3,6.707527,1.528565721373821e-108,CALD1,3.7161283,1.4977461660925186e-35,IKZF2,6.411184,5.3310833705317093e-45,GPM6B,8.353977,1.1020276752031406e-64,COLEC12,8.092445,8.711576699181551e-36,TRDC,6.5706,8.148376771183988e-13,ADCY2,9.708482,6.527415190900875e-22
SYNPO2,5.6577754,2.632826610260704e-235,LTB,6.4723835,4.91760448132608e-234,IGFBP5,6.073128,3.5287998506667874e-239,LCP1,6.2481537,1.288170367527344e-220,VCAN,8.499187,6.0690091581252676e-248,DOCK4,7.523741,1.8113712855335843e-258,IL2RB,8.111144,2.969092096172477e-179,CPE,5.0415998,8.067168915362377e-75,POU2F2,5.49159,8.317281381835877e-61,TMTC1,6.7936335,1.4443323350936592e-118,FRMD4A,5.5683475,2.4349856309802868e-108,COL1A2,4.4070168,1.7250193788863346e-35,TOX,5.8008633,2.1122546297254117e-43,ADGRB3,7.7041097,6.71963496090634e-64,SEMA3A,8.85705,2.1374274812327218e-35,HPGD,6.5098863,2.1148121233435433e-12,MDGA2,11.516171,1.164201876134499e-21
TIMP3,4.2717867,7.30391543722461e-234,ITK,6.19812,2.0435520058567123e-233,LBH,5.1156845,5.456332887414099e-239,FYB1,6.3543844,5.332205590872622e-220,NEGR1,7.076729,7.084184626202741e-246,LIFR,7.4356117,2.254003821384356e-258,CCL4,8.15145,1.2984770770454144e-176,CCDC102B,5.3887258,6.957674139617959e-74,HLA-DQB1,5.2080564,5.517223855450131e-60,ABLIM1,6.1655593,1.0159443246071585e-117,PTPRG,4.928535,2.766961240854691e-107,SOX5,4.084116,3.789419882886501e-35,STK17B,4.8156867,1.6095304998970828e-42,NTM,11.559446,3.353069336584944e-63,NRP2,8.3763895,2.1374274812327218e-35,CCND2,5.3262353,2.382626545108191e-12,C4orf48,7.9646244,1.2320201558544854e-21
CALD1,4.2703424,2.22641006789925e-230,STK17B,5.218385,2.6287301972880253e-230,PLAC9,5.7360883,4.491887256260842e-233,ARL4C,6.2650895,1.067899809358007e-215,ABCA6,8.376476,3.72766835234118e-245,MAGI1,7.211866,1.9692633681364058e-249,FCER1G,8.765535,1.0180430535946461e-173,NCKAP5,5.3842225,9.810837102599834e-74,ALOX5,7.6308265,7.50095660812553e-59,SNTG2,7.920079,3.554714305846327e-116,TEX41,5.968271,8.766983260318579e-104,RERG,4.2091646,1.2893742002921276e-32,CD3E,5.8357053,8.821625048230612e-41,FIGN,7.3361034,2.889279408337741e-62,EFNA5,8.092457,3.334367753380908e-35,CD52,5.667154,2.6435918372771018e-12,KCNH8,9.8548155,2.4781863342730765e-21
FILIP1L,4.2981935,2.134726977138235e-227,CDC42SE2,4.84879,9.236092770274041e-229,TSC22D1,4.596537,1.862422806857036e-232,CD48,6.2002835,5.5776354066732265e-213,NOVA1,7.7395115,1.5261413849218423e-241,PLVAP,10.629259,5.717638807686807e-249,CTSW,7.518699,8.367162526927607e-173,TJP1,4.6104345,1.539314532407784e-73,HLA-DRB1,4.807316,1.7597363040707415e-56,PLCB1,5.2349806,9.76218058805191e-112,PICALM,2.4009764,4.852314008781215e-103,PRKG1,3.9854,1.527076044734643e-32,TRBC2,5.3653183,9.303120751229014e-40,SEMA3C,9.897376,5.615274287147884e-62,STOX2,7.9628716,3.334367753380908e-35,LINC00299,5.7383456,8.409910263761768e-12,PLPPR4,8.354728,3.385695722828918e-21
LMOD1,5.777677,2.134726977138235e-227,CD3G,6.5787773,1.0999899176007406e-225,CRYAB,6.2475986,1.9640280262380158e-229,CD52,6.4007826,3.550239542943322e-212,LRP1,6.74858,4.1748376371754844e-241,AQP1,7.6089916,2.5985715668674578e-242,GZMA,7.516057,2.836568236106085e-171,EPS8,4.057735,3.120428949985927e-73,CD74,4.2426434,1.094763589219319e-55,CLDN5,7.937501,1.0043960148736887e-111,MYH11,5.920506,4.01773349679405e-101,PLEKHH2,4.3452535,3.3908948332484205e-31,SAMSN1,5.5201616,3.093623437666961e-39,ANK3,7.2994833,5.368935582326081e-61,ZFPM2,6.7368608,3.7002532135594675e-35,RIN3,5.1644855,1.7377750723047943e-11,TRPM1,13.263736,6.194519012201026e-21
EBF2,6.1837173,1.050853098842471e-222,EMB,5.804928,4.37888672670526e-225,NTRK2,6.134874,3.977817335893529e-228,KLRG1,6.609344,4.396666962305977e-210,SVEP1,9.546991,1.5365521068856404e-235,PREX2,7.4941535,3.906922500718534e-242,FGFBP2,8.639272,5.341768354733747e-171,ARHGAP42,5.090132,7.82443916945723e-73,AIF1,7.794705,2.1992680216395786e-55,RDX,5.2538586,1.4738101591776483e-111,EPHA3,6.716434,8.636988474593559e-101,SLC7A2,4.342132,5.0464031264497085e-31,APBB1IP,5.1111774,1.6759272658046423e-38,FRMD5,10.490595,1.745943301935358e-60,TBX1,10.047124,1.230708843268209e-34,CTSW,5.4108763,2.85654909492228e-11,LINC00511,9.819749,1.0653420734099597e-20
IGFBP7,3.7301998,1.940453314753702e-222,IQGAP2,5.720518,1.672302559412527e-218,BCAM,6.19769,2.165459984981303e-219,CD3D,6.6407504,6.892635623043289e-209,LUM,7.976024,1.6144146423053807e-231,THSD7A,8.190103,6.765539854431176e-236,PLEK,7.7471857,1.0060625199015113e-168,NEGR1,5.403801,4.624207079807867e-72,LY86,9.027925,2.443954276335263e-55,ADGRL4,7.774513,1.7687192940617907e-110,MEF2C,4.4401445,3.134296657750353e-99,PSD3,4.2813835,8.33117228103802e-31,CD2,5.480339,4.905728338031822e-38,SCN9A,10.277527,5.500326622580953e-59,TFF3,12.031688,1.492753602676578e-33,SPINK2,7.7074146,3.4406699261679583e-11,MITF,7.150205,1.3083661628085954e-20
